,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Saldanha,24,PT,1540682073,85,41.42,-6.55,35.65,6.08
376,Pitimbu,20,BR,1540677600,69,-7.47,-34.81,78.8,5.82
377,Mutum,68,BR,1540682076,97,-19.82,-41.44,70.35,2.51
378,Broken Hill,92,AU,1540682077,47,-31.97,141.45,69.18,8.66
379,Tiznit,76,MA,1540682078,99,29.7,-9.73,63.82,5.41
380,Sault Sainte Marie,90,CA,1540680240,100,46.49,-84.36,42.8,5.82
381,Salym,32,RU,1540682080,79,60.06,71.48,32.82,4.74
382,Nong Han,0,TH,1540681200,88,17.36,103.11,75.2,3.36
383,Abha,0,SA,1540677600,82,18.22,42.5,62.6,1.95
384,Pisco,90,PE,1540677600,77,-13.71,-76.2,66.2,9.17
385,Beroun,0,CZ,1540681200,75,49.96,14.07,42.8,4.7
386,Sao Joao da Barra,75,BR,1540677600,83,-21.64,-41.05,78.8,6.93
387,Nouadhibou,76,MR,1540677600,88,20.93,-17.03,68.0,16.11
388,Tandil,24,AR,1540682089,72,-37.33,-59.14,61.35,5.64
389,Kitui,92,KE,1540682091,99,-1.37,38.02,64.86,3.85
390,Moba,32,CD,1540682092,95,-7.04,29.77,67.2,4.97
391,Touros,0,BR,1540682093,91,-5.2,-35.46,76.11,9.66
392,Itoman,75,JP,1540680960,56,26.12,127.67,71.6,17.22
393,Asgardstrand,0,NO,1540680600,59,59.35,10.47,33.8,10.29
394,Hangu,5,PK,1540677600,77,33.53,71.06,64.4,4.7
395,Acapulco,75,MX,1540676880,70,16.86,-99.88,86.0,6.93
396,Husavik,36,CA,1540682099,96,50.56,-96.99,40.02,7.43
397,Gobabis,8,NA,1540677600,30,-22.45,18.97,73.4,3.36
398,Sorong,8,ID,1540682102,100,-0.86,131.25,81.87,13.58
399,Lenoir City,90,US,1540680900,81,35.8,-84.26,51.8,7.2
400,Cuiluan,88,CN,1540682104,74,47.72,128.65,26.97,7.99
401,Labuhan,32,ID,1540682024,91,-2.54,115.51,76.78,2.95
402,Dawei,0,MM,1540682107,82,14.07,98.19,76.56,3.96
403,Constitucion,40,MX,1540676580,33,23.99,-104.67,73.4,2.24
404,Turan,20,RU,1540682109,86,52.15,93.92,13.83,1.39
405,Warri,36,NG,1540682030,97,5.52,5.75,75.88,6.2
406,Martapura,12,ID,1540682112,92,-3.41,114.85,81.33,3.4
407,Harrisburg,90,US,1540680960,87,40.27,-76.89,46.4,4.7
408,Chifeng,92,CN,1540682114,67,42.27,118.96,32.1,7.65
409,Saint George,0,GR,1540680600,93,39.45,22.34,53.6,2.73
410,Teya,75,MX,1540676820,48,21.05,-89.07,87.8,3.36
411,Pitkyaranta,12,RU,1540682118,86,61.57,31.48,29.17,13.8
412,Bar Harbor,90,US,1540680360,93,44.39,-68.2,37.4,13.87
413,Brookings,20,US,1540680900,76,44.31,-96.8,60.8,9.17
414,Folkestone,75,US,1540680960,55,34.1,-80.94,62.6,11.41
415,Auki,8,NG,1540682123,79,12.18,6.51,73.63,2.73
416,Trinidad,40,UY,1540677600,52,-33.52,-56.9,68.0,6.93
417,Biak,20,ID,1540682125,88,-0.91,122.88,81.87,4.18
418,Richards Bay,68,ZA,1540682097,96,-28.77,32.06,63.06,2.84
419,Te Anau,92,NZ,1540682127,99,-45.41,167.72,46.09,3.4
420,Cabatuan,44,PH,1540682129,83,16.95,121.67,75.52,11.23
421,Yamada,75,JP,1540677600,76,36.58,137.08,55.4,4.7
422,Rome,75,IT,1540680900,72,41.89,12.48,71.6,17.22
423,Bandarbeyla,68,SO,1540682133,100,9.49,50.81,76.38,7.43
424,Bathsheba,20,BB,1540677600,78,13.22,-59.52,78.8,5.82
425,Kondinskoye,0,RU,1540682135,72,59.65,67.41,31.11,6.76
426,Barabai,76,ID,1540682136,92,-2.59,115.38,77.1,2.95
427,Ahipara,80,NZ,1540682138,88,-35.17,173.16,62.07,11.23
428,Nicoya,75,CR,1540677600,83,10.15,-85.45,80.6,5.82
429,Palana,92,RU,1540682140,99,59.08,159.95,38.4,4.07
430,Mataram,68,ID,1540682141,98,-5.32,105.06,74.22,2.73
431,Ponta Delgada,40,PT,1540681200,59,37.73,-25.67,62.6,20.8
432,Takoradi,0,GH,1540681951,100,4.89,-1.75,79.39,7.43
433,Sungairaya,44,ID,1540682145,92,0.7,108.9,77.32,3.62
434,Najran,0,SA,1540677600,31,17.54,44.22,73.4,2.28
435,Manokwari,0,ID,1540682147,94,-0.87,134.08,84.25,7.31
436,Matagami,24,NG,1540682149,84,9.67,8.4,66.03,2.62
437,Zhaoyuan,64,CN,1540682150,68,45.52,125.08,31.92,10.0
438,Lavrentiya,0,RU,1540681953,100,65.58,-170.99,29.44,21.3
439,Kavaratti,0,IN,1540682014,97,10.57,72.64,85.78,6.08
440,Ornskoldsvik,12,SE,1540680600,68,63.29,18.72,28.4,10.29
441,Rivne,100,UA,1540682155,98,50.62,26.25,47.4,2.95
442,Romanovka,88,RU,1540682156,94,51.74,42.76,38.4,14.7
443,Eureka,90,US,1540679700,68,40.8,-124.16,68.0,5.82
444,Tura,0,IN,1540682034,89,25.52,90.21,65.13,2.51
445,North Bend,75,US,1540680960,72,43.41,-124.22,68.0,16.11
446,Kaka,88,TM,1540682162,100,37.35,59.62,43.8,4.97
447,Belyy Yar,12,RU,1540679400,92,53.6,91.39,24.8,2.24
448,Rincon,90,US,1540680960,77,32.3,-81.24,62.6,8.05
449,Mahebourg,20,MU,1540677600,88,-20.41,57.7,64.4,8.05
450,Corrientes,0,AR,1540677600,47,-27.47,-58.83,77.0,8.05
451,Almaznyy,12,RU,1540682168,92,48.03,40.04,45.87,13.02
452,Moerai,100,PF,1540682169,100,-22.43,-151.33,70.57,21.63
453,Ambovombe,92,MG,1540682170,100,-25.18,46.09,64.18,10.45
454,Gdov,92,RU,1540682172,100,58.74,27.82,37.63,21.3
455,Moose Jaw,20,CA,1540677600,26,50.4,-105.54,55.4,31.09
456,Boden,0,SE,1540680600,92,65.83,21.69,21.2,6.93
457,Knyaze-Volkonskoye,90,RU,1540679400,100,48.46,135.46,32.0,6.71
458,Maddur,0,IN,1540682177,86,12.58,77.04,59.68,2.95
459,Suez,0,EG,1540682178,83,29.97,32.54,50.77,3.29
460,Nioro,0,GM,1540682180,78,13.79,-15.05,80.16,8.55
461,Barabinsk,88,RU,1540682181,63,55.35,78.35,51.58,14.81
462,The Pas,90,CA,1540681200,99,53.82,-101.24,33.8,10.29
463,Oktyabrskiy,75,RU,1540679400,86,55.61,37.97,41.0,11.18
464,Kalemie,24,CD,1540682185,97,-5.95,29.2,76.24,2.62
465,Farrukhnagar,0,IN,1540681200,77,28.45,76.82,66.2,2.73
466,Huallanca,88,PE,1540682187,100,-9.9,-76.94,42.9,0.83
467,Pinyug,44,RU,1540682189,79,60.25,47.79,30.93,6.64
468,Goderich,92,CA,1540682190,100,43.74,-81.71,39.03,14.7
469,Buchanan,40,LR,1540681200,94,5.88,-10.05,77.0,3.36
470,Esso,8,RU,1540682193,97,55.93,158.7,25.26,2.84
471,Shelburne,90,CA,1540681980,86,44.08,-80.2,37.4,4.7
472,Soligalich,76,RU,1540682195,98,59.08,42.29,29.67,9.22
473,Huitziltepec,0,MX,1540682197,52,17.76,-99.48,77.32,2.39
474,Necochea,8,AR,1540682198,67,-38.55,-58.74,64.0,9.44
475,Busayra,0,JO,1540682200,85,30.74,35.61,42.81,2.06
476,Luwuk,20,ID,1540682201,88,-0.95,122.79,81.87,4.18
477,Vila,90,IT,1540680900,100,45.18,8.4,57.2,11.45
478,Korem,76,ET,1540682204,89,12.51,39.52,50.95,1.16
479,Winslow,75,GB,1540680960,100,51.94,-0.88,41.0,13.87
480,Ketchikan,20,US,1540680960,47,55.34,-131.65,55.4,12.75
481,Aykhal,92,RU,1540682207,85,65.95,111.51,27.15,12.8
482,Inuvik,90,CA,1540681200,92,68.36,-133.71,24.8,5.82
483,Kuytun,0,RU,1540682210,72,54.34,101.51,21.07,2.39
484,Kishapu,32,TZ,1540682211,95,-3.61,33.87,62.07,4.63
485,Khani,0,GE,1540679400,71,41.96,42.96,51.8,13.87
486,Naze,20,NG,1540677600,88,5.43,7.07,80.6,5.53
487,Carutapera,48,BR,1540682096,90,-1.2,-46.02,78.94,7.54
488,Monamon,0,PH,1540682216,76,16.88,120.88,72.37,1.72
489,Gat,8,SN,1540682217,70,14.69,-16.54,79.12,8.55
490,San Carlos de Bariloche,75,AR,1540677600,67,-41.13,-71.31,57.2,17.22
491,Pyaozerskiy,0,RU,1540682220,100,65.83,31.17,28.5,9.44
492,Afonso Bezerra,0,BR,1540682221,59,-5.5,-36.51,80.47,12.8
493,Grindavik,90,IS,1540679400,93,63.84,-22.43,39.2,34.45
494,Hit,0,IQ,1540682224,82,33.64,42.83,48.03,5.64
495,Huescar,48,ES,1540682102,89,37.81,-2.54,36.37,3.85
496,Malumfashi,8,NG,1540682227,80,11.79,7.62,72.96,2.84
497,Viedma,12,AR,1540682228,41,-40.81,-62.99,65.31,7.76
498,Kahului,40,US,1540677360,58,20.89,-156.47,87.8,20.8
499,Parola,0,IN,1540682231,75,20.88,75.11,64.63,2.51
500,Faya,0,SA,1540677600,82,18.39,42.45,62.6,3.4
501,Palomares,0,ES,1540681200,74,40.39,-5.74,35.6,6.93
502,San Felipe,0,CL,1540681200,37,-32.75,-70.73,71.6,12.75
503,Cayenne,40,GF,1540679400,78,4.94,-52.33,82.4,5.82
504,Prince Rupert,1,CA,1540681200,47,54.32,-130.32,55.4,11.41
505,Yakeshi,88,CN,1540682238,71,49.28,120.73,22.92,16.04
506,Mhango,24,TZ,1540682239,97,-2.75,33.92,62.07,3.74
507,Nchelenge,56,ZM,1540682241,91,-9.35,28.74,63.42,2.06
508,Hare Bay,75,CA,1540681200,59,48.86,-53.99,33.8,11.41
509,Vedea,24,RO,1540682243,74,44.78,24.62,44.2,3.51
510,Lac du Bonnet,80,CA,1540682244,93,50.25,-96.06,42.58,7.76
511,Bahia Blanca,80,AR,1540682246,56,-38.72,-62.27,69.81,4.07
512,Tambacounda,0,SN,1540681200,79,13.77,-13.67,84.2,4.7
513,Tutoia,20,BR,1540676700,61,-2.76,-42.27,82.4,19.46
514,Yulara,0,AU,1540681200,64,-25.24,130.99,71.6,8.05
515,Port-Gentil,40,GA,1540677600,88,-0.72,8.78,80.6,12.75
516,Shizuishan,0,CN,1540682252,65,39.02,106.36,16.57,2.39
517,Nagato,75,JP,1540677600,66,34.35,131.14,57.2,3.36
518,Champaign,90,US,1540679700,62,40.12,-88.24,55.4,4.7
519,Bulakamba,68,ID,1540682256,100,-6.87,108.95,79.62,5.97
520,Seoul,90,KR,1540681200,81,37.57,126.98,48.2,8.05
521,Okhotsk,64,RU,1540682258,100,59.36,143.24,26.92,5.53
522,Ust-Tsilma,80,RU,1540682259,87,65.44,52.15,29.67,5.64
523,Oga,12,NG,1540682141,94,8.18,5.65,72.51,2.95
524,Seymchan,48,RU,1540682262,100,62.93,152.39,13.15,3.85
525,Vanderhoof,0,CA,1540682263,63,54.02,-124.02,43.48,4.85
526,Pacific Grove,1,US,1540680900,68,36.62,-121.92,84.2,6.93
527,Puerto Madryn,0,AR,1540682099,60,-42.77,-65.04,61.71,5.97
528,Bayanday,0,RU,1540682266,78,53.07,105.52,22.02,2.62
529,Baykit,0,RU,1540682268,74,61.68,96.39,34.03,8.99
530,Dongsheng,0,CN,1540682269,72,29.72,112.52,52.62,2.73
531,Tual,0,ID,1540682270,100,-5.67,132.75,82.09,5.41
